Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.428637,0.502359,0.347451,0.462579,36717,54456,2809091522,2546949881.000000,0.000000,525466,.,.,296594.000000,194071.000000,,1.52827573414,225234,.,.,98139.000000,119753.000000,,0.819511828514,300232,.,.,198455.000000,74318.000000,,2.67034904061,699632,.,.,383635.000000,305776.000000,,1.25462757051,229349,.,.,107950.000000,119383.000000,,0.904232595931,227195,.,.,153324.000000,72427.000000,,2.11694533806,243088,.,.,122361.000000,113966.000000,,1.07366232034
INDEL,*,*,PASS,*,QUAL,*,0.40599,0.512184,0.319242,0.452946,30660,47264,2809091522,2546949881.000000,0.000000,525466,.,.,296594.000000,194071.000000,,1.52827573414,213334,.,.,93658.000000,112760.000000,,0.830595956013,312132,.,.,202936.000000,81311.000000,,2.49580007625,623211,.,.,349883.000000,266702.000000,,1.31188742492,217297,.,.,103084.000000,112408.000000,,0.917052167106,206959,.,.,144353.000000,61770.000000,,2.33694350008,198955,.,.,102446.000000,92524.000000,,1.1072370412
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.485481,0.474245,0.822089,0.479797,90,215,3033800718.000000,2546949881.000000,0.000000,1102,.,.,618.000000,462.000000,,1.33766233766,535,.,.,230.000000,303.000000,,0.759075907591,567,.,.,388.000000,159.000000,,2.44025157233,6329,.,.,3392.000000,2829.000000,,1.19901025097,534,.,.,231.000000,302.000000,,0.764900662252,592,.,.,437.000000,154.000000,,2.83766233766,5203,.,.,2724.000000,2373.000000,,1.14791403287
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.474592,0.479779,0.800623,0.477171,78,208,3033800718.000000,2546949881.000000,0.000000,1102,.,.,618.000000,462.000000,,1.33766233766,523,.,.,228.000000,294.000000,,0.775510204082,579,.,.,390.000000,168.000000,,2.32142857143,5457,.,.,2989.000000,2405.000000,,1.24282744283,522,.,.,228.000000,293.000000,,0.778156996587,566,.,.,426.000000,139.000000,,3.06474820144,4369,.,.,2335.000000,1973.000000,,1.18347693867
INDEL,*,TS_contained,ALL,*,QUAL,*,0.428517,0.502429,0.0,0.462539,36627,54241,2546949881.000000,2546949881.000000,0.000000,524364,.,.,295976.000000,193609.000000,,1.52873058587,224699,.,.,97909.000000,119450.000000,,0.819665131854,299665,.,.,198067.000000,74159.000000,,2.67084237921,455418,.,.,260606.000000,191354.000000,,1.36190516007,228815,.,.,107719.000000,119081.000000,,0.904585954098,226603,.,.,152887.000000,72273.000000,,2.11540962739,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.405846,0.512267,0.0,0.452889,30582,47056,2546949881.000000,2546949881.000000,0.000000,524364,.,.,295976.000000,193609.000000,,1.52873058587,212811,.,.,93430.000000,112466.000000,,0.830739956965,311553,.,.,202546.000000,81143.000000,,2.49616109831,423168,.,.,246783.000000,173746.000000,,1.42036651203,216775,.,.,102856.000000,112115.000000,,0.917415154083,206393,.,.,143927.000000,61631.000000,,2.33530203956,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3033800718.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3033800718.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3033800718.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3033800718.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3033800718.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3033800718.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.481909,0.802201,0.721275,0.60211,474,260,2809091522,2546949881.000000,0.000000,6495,.,.,3608.000000,2225.000000,,1.62157303371,3130,.,.,1563.000000,1367.000000,,1.1433796635,3365,.,.,2045.000000,858.000000,,2.38344988345,14021,.,.,7574.000000,6446.000000,,1.17499224325,3135,.,.,1766.000000,1369.000000,,1.2899926954,773,.,.,216.000000,557.000000,,0.387791741472,10113,.,.,5592.000000,4520.000000,,1.23716814159
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.476828,0.808866,0.711589,0.599972,447,251,2809091522,2546949881.000000,0.000000,6495,.,.,3608.000000,2225.000000,,1.62157303371,3097,.,.,1549.000000,1348.000000,,1.14910979228,3398,.,.,2059.000000,877.000000,,2.34777651083,13297,.,.,7214.000000,6082.000000,,1.18612298586,3102,.,.,1752.000000,1350.000000,,1.29777777778,733,.,.,204.000000,529.000000,,0.385633270321,9462,.,.,5258.000000,4203.000000,,1.25101118249
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.705882,0.705882,0.906077,0.705882,1,2,3033800718.000000,2546949881.000000,0.000000,17,.,.,14.000000,3.000000,,4.66666666667,12,.,.,9.000000,3.000000,,3.0,5,.,.,5.000000,0.000000,,,181,.,.,100.000000,81.000000,,1.23456790123,12,.,.,9.000000,3.000000,,3.0,5,.,.,4.000000,1.000000,,4.0,164,.,.,87.000000,77.000000,,1.12987012987
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.705882,0.705882,0.901163,0.705882,1,2,3033800718.000000,2546949881.000000,0.000000,17,.,.,14.000000,3.000000,,4.66666666667,12,.,.,9.000000,3.000000,,3.0,5,.,.,5.000000,0.000000,,,172,.,.,95.000000,77.000000,,1.23376623377,12,.,.,9.000000,3.000000,,3.0,5,.,.,4.000000,1.000000,,4.0,155,.,.,82.000000,73.000000,,1.12328767123
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.481321,0.802621,0.0,0.60177,473,258,2546949881.000000,2546949881.000000,0.000000,6478,.,.,3594.000000,2222.000000,,1.61746174617,3118,.,.,1554.000000,1364.000000,,1.13929618768,3360,.,.,2040.000000,858.000000,,2.37762237762,3891,.,.,1969.000000,1922.000000,,1.02445369407,3123,.,.,1757.000000,1366.000000,,1.28623718887,768,.,.,212.000000,556.000000,,0.381294964029,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.476227,0.809324,0.0,0.599622,446,249,2546949881.000000,2546949881.000000,0.000000,6478,.,.,3594.000000,2222.000000,,1.61746174617,3085,.,.,1540.000000,1345.000000,,1.14498141264,3393,.,.,2054.000000,877.000000,,2.34207525656,3818,.,.,1943.000000,1875.000000,,1.03626666667,3090,.,.,1743.000000,1347.000000,,1.29398663697,728,.,.,200.000000,528.000000,,0.378787878788,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.427858,0.581432,0.339489,0.492961,18338,19997,2809091522,2546949881.000000,0.000000,245551,.,.,140049.000000,86127.000000,,1.62607544672,105061,.,.,47017.000000,54005.000000,,0.870604573651,140490,.,.,93032.000000,32122.000000,,2.89620820621,274613,.,.,147070.000000,127542.000000,,1.15311034796,105463,.,.,51615.000000,53848.000000,,0.95853142178,75922,.,.,47700.000000,28222.000000,,1.69017078875,93228,.,.,47755.000000,45472.000000,,1.05020672062
INDEL,D1_5,*,PASS,*,QUAL,*,0.407007,0.603861,0.311619,0.486267,15523,16776,2809091522,2546949881.000000,0.000000,245551,.,.,140049.000000,86127.000000,,1.62607544672,99941,.,.,44546.000000,51540.000000,,0.864299573147,145610,.,.,95503.000000,34587.000000,,2.76123977217,241182,.,.,130361.000000,110821.000000,,1.17632037249,100256,.,.,48868.000000,51388.000000,,0.950961313925,65769,.,.,43128.000000,22641.000000,,1.90486285941,75157,.,.,38365.000000,36792.000000,,1.04275385953
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.457627,0.53598,0.836974,0.493714,44,48,3033800718.000000,2546949881.000000,0.000000,472,.,.,290.000000,174.000000,,1.66666666667,216,.,.,108.000000,108.000000,,1.0,256,.,.,182.000000,66.000000,,2.75757575758,2472,.,.,1338.000000,1134.000000,,1.17989417989,216,.,.,108.000000,108.000000,,1.0,187,.,.,133.000000,54.000000,,2.46296296296,2069,.,.,1097.000000,972.000000,,1.12860082305
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.449153,0.549223,0.815223,0.494172,36,44,3033800718.000000,2546949881.000000,0.000000,472,.,.,290.000000,174.000000,,1.66666666667,212,.,.,107.000000,105.000000,,1.01904761905,260,.,.,183.000000,69.000000,,2.65217391304,2089,.,.,1138.000000,951.000000,,1.19663512093,212,.,.,107.000000,105.000000,,1.01904761905,174,.,.,130.000000,44.000000,,2.95454545455,1703,.,.,901.000000,802.000000,,1.12344139651
